
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))

160,2020-10-23,,부산(레),부산광역시 서구 서대신동3가,부산지방기상청(159),35.1188,129.000,512,,,,
160,1993-03-04,2020-10-23,부산(레),부산광역시 서구 서대신동3가,부산지방기상청(159),35.1188,129.000,518.46,,,,
296,2023-01-11,2025-04-25,북부산,부산광역시 강서구 대저1동,부산지방기상청(159),35.2178,128.9602,3,,,,
296,2020-11-12,2023-01-11,북부산,부산광역시 강서구 대저1동,부산지방기상청(159),35.2178,128.9602,3,,,,
904,2020-10-31,,사상,부산광역시 사상구 삼락동,부산지방기상청(159),35.1694,128.9751,0.73,,,,
904,2019-12-10,2020-10-31,사상,부산광역시 사상구 감전동,부산지방기상청(159),35.137,128.9675,4.28,,,,
904,2015-09-07,2019-12-10,사상,부산광역시 사상구 감전동,부산지방기상청(159),35.137,128.9675,4.28,,,,
904,2009-02-01,2009-11-05,동읍,경상남도 창원시 의창구 동읍 용잠리,창원기상대(155),35.350,128.6667,21,,,,
904,1998-05-09,2009-02-01,동읍,경상남도 창원시 의창구 동읍 용잠리,창원기상대(155),35.350,128.6667,21,,,,
904,1991-03-08,1998-05-09,의창,경상남도 창원시 의창구 동읍 용잠리,창원기상대(155),35.2794,128.6915,30,,,,
910,2024-10-15,,영도,부산광역시 영도구 동삼동,부산지방기상청(159),35.0661,129.0742,138.96,,,,
910,2020-11-01,2024-10-15,영도,부산광역시 영도구 동삼동,부산지방기상청(159),35.0661,129.0742,138.96,,,,
910,2020-10-23,2020-11-01,영도,부산광역시 영도구 동삼동,부산지방기상청(159),35.0661,129.0742,138.96,,,,
910,2010-07-23,2020-10-23,영도,부산광역시 영도구 동삼동,부산지방기상청(159),35.0661,129.0742,137.94,,,,
910,1990-06-23,2010-07-23,영도,부산광역시 영도구 동삼동,부산지방기상청(159),35.070,129.080,45,,,,
921,2024-10-13,,가덕도,부산광역시 강서구 대항동,부산지방기상청(159),34.9931,128.8314,75.63,,,,
921,2020-10-23,2024-10-13,가덕도,부산광역시 강서구 대항동,부산지방기상청(159),34.9931,128.8314,75.63,,,,
921,2011-08-03,2020-10-23,가덕도,부산광역시 강서구 대항동,부산지방기상청(159),34.9931,128.8314,73.26,,,,
921,1992-12-17,2011-08-03,가덕도,부산광역시 강서구 대항동,부산지방기상청(159),34.9897,128.8291,71.92,,,,
923,2021-07-23,,기장,부산광역시 기장군 장안읍 길천리,부산지방기상청(159),35.2751,129.2511,65.99,,,,
923,2020-10-23,2021-07-23,기장,부산광역시 기장군 일광면 이천리,부산지방기상청(159),35.2751,129.2511,65.99,,,,
923,2011-09-22,2020-10-23,기장,부산광역시 기장군 일광면 이천리,부산지방기상청(159),35.275,129.2511,65,,,,
923,1992-11-10,2011-09-22,기장,부산광역시 기장군 일광면 삼성리,부산지방기상청(159),35.264,129.2323,13.11,,,,
937,2024-11-30,,해운대,부산광역시 해운대구 우동,부산지방기상청(159),35.1772,129.1607,81.87,,,,
937,2023-11-01,2024-11-30,해운대,부산광역시 해운대구 우동,부산지방기상청(159),35.1761,129.1624,63.72,,,,
937,2020-10-23,2023-11-01,해운대,부산광역시 해운대구 우동,부산지방기상청(159),35.1761,129.1624,63.72,,,,
937,2010-06-29,2020-10-23,해운대,부산광역시 해운대구 우동,부산지방기상청(159),35.1761,129.1624,62.98,,,,
937,2007-11-29,2010-06-29,해운대,부산광역시 해운대구 좌동,부산지방기상청(159),35.1749,129.1663,69.82,,,7.000,
937,1994-12-16,2007-11-29,해운대,부산광역시 해운대구 중동,부산지방기상청(159),35.1604,129.1669,25,,,,
938,2020-10-15,,부산진,부산광역시 부산진구 개금동,부산지방기상청(159),35.1589,129.0193,114.38,,,,
938,2012-12-07,2020-10-15,부산진,부산광역시 부산진구 개금동,부산지방기상청(159),35.1589,129.0192,114,,,,
938,2009-05-08,2012-12-07,부산진,부산광역시 부산진구 범천동,부산지방기상청(159),35.154,129.0507,17.55,,,,
938,2004-02-26,2009-05-08,부산진,부산광역시 부산진구 범천동,부산지방기상청(159),35.1472,129.0514,83,,,,
938,1998-10-23,2004-02-26,부산진,부산광역시 부산진구 범천동,부산지방기상청(159),35.1333,129.050,35,,,,
938,1994-12-16,1998-10-23,부산진,부산광역시 부산진구 범천동,부산지방기상청(159),35.161,129.0613,35,,,,
939,2020-10-14,,금정구,부산광역시 금정구 두구동,부산지방기상청(159),35.2932,129.1035,49.26,,,,
939,2020-06-12,2020-10-14,금정구,부산광역시 금정구 두구동,부산지방기상청(159),35.2932,129.1035,53.11,,,,
939,2014-04-03,2020-06-12,금정구,부산광역시 금정구 두구동,부산지방기상청(159),35.2932,129.1035,53.11,,,,
939,2011-04-03,2014-04-03,금정구,부산광역시 금정구 장전동,부산지방기상청(159),35.2323,129.0846,71.08,,,7.000,
939,2007-11-30,2011-04-03,금정구,부산광역시 금정구 장전동,부산지방기상청(159),35.2354,129.0824,71.08,,,7.000,
939,1994-12-17,2007-11-30,금정구,부산광역시 금정구 장전동,부산지방기상청(159),35.2289,129.0831,68,,,,
940,2022-10-14,,동래,부산광역시 동래구 복천동,부산지방기상청(159),35.2091,129.0901,70.07,,,,
940,2014-11-14,2022-10-14,동래,부산광역시 동래구 복천동,부산지방기상청(159),35.2091,129.0901,70.07,,,,
940,2011-03-24,2014-11-14,동래,부산광역시 동래구 명륜동,부산지방기상청(159),35.2084,129.083,18.89,,,,
940,2005-04-28,2011-03-24,동래구,부산광역시 동래구 명륜동,부산지방기상청(159),35.2053,129.0856,18,,,,
940,2002-02-01,2005-04-28,동래구,부산광역시 동래구 명륜동,부산지방기상청(159),35.2028,129.085,14.5,,,,
940,1994-12-17,2002-02-01,동래구,부산광역시 동래구 명륜동,부산지방기상청(159),35.1911,129.0787,25,,,,
941,2020-10-23,,북구,부산광역시 북구 덕천동,부산지방기상청(159),35.213,129.0026,6.94,,,,
941,2015-10-01,2020-10-23,북구,부산광역시 북구 덕천동,부산지방기상청(159),35.213,129.0026,5.52,,,,
941,2008-06-13,2015-10-01,북구,부산광역시 북구 구포동,부산지방기상청(159),35.204,128.9981,34.54,,,7.000,
941,1994-12-17,2008-06-13,북구,부산광역시 북구 구포동,부산지방기상청(159),35.1926,129.0065,141,,,,
942,2021-07-22,,부산남구,부산광역시 남구 감만동,부산지방기상청(159),35.1186,129.0884,124.26,,,,
942,2020-10-23,2021-07-22,부산남구,부산광역시 남구 감만동,부산지방기상청(159),35.1186,129.0884,124.26,,,,
942,2019-04-27,2020-10-23,부산남구,부산광역시 남구 감만동,부산지방기상청(159),35.1186,129.0883,121.2,,,,
942,2009-05-15,2019-04-27,대연,부산광역시 남구 대연동,부산지방기상청(159),35.135,129.1045,14.86,,,,
942,1994-12-16,2009-05-15,대연,부산광역시 남구 대연동,부산지방기상청(159),35.1304,129.1051,4,,,,
950,2023-11-01,,사하,부산광역시 사하구 신평동,부산지방기상청(159),35.090,128.9839,127,,,,
950,2011-12-08,2023-11-01,사하,부산광역시 사하구 신평동,부산지방기상청(159),35.090,128.9839,127,,,,
950,2001-09-15,2011-12-08,수영만,부산광역시 해운대구,부산지방기상청(159),35.1612,129.1381,11.14,,,,
968,2017-12-06,2020-01-31,남항,부산광역시 영도구 신선동3가,부산지방기상청(159),35.081,129.045,78.58,,,,
968,2013-06-01,2017-12-06,남항,부산광역시 영도구 신선동3가,부산지방기상청(159),35.081,129.045,78.58,,,,
968,2010-11-22,2013-06-01,남항,부산광역시 영도구 신선동3가,부산지방기상청(159),35.081,129.045,78.58,,,,
969,2017-12-06,2020-07-27,북항,부산광역시 남구 용호동,부산지방기상청(159),35.091,129.127,37.72,,,,
969,2013-06-01,2017-12-06,북항,부산광역시 남구 용호동,부산지방기상청(159),35.091,129.127,37.72,,,,
969,2010-11-22,2013-06-01,북항,부산광역시 남구 용호동,부산지방기상청(159),35.091,129.127,37.72,,,,
