발표시각,지역,해당지역,특보종류,특보수준,특보명령,발효시각
2020-05-02 21:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(고성, 거제, 통영 제외)",건조,주의보,해제,2020-05-02 21:00:00
2020-05-09 09:30:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 거제, 통영)",강풍,주의보,발표,2020-05-09 11:00:00
2020-05-09 09:30:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 경남서부남해앞바다, 부산앞바다)",풍랑,주의보,발표,2020-05-09 11:00:00
2020-05-09 16:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 거제, 통영)",강풍,주의보,해제,2020-05-09 18:00:00
2020-05-09 19:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 경남서부남해앞바다, 부산앞바다)",풍랑,주의보,해제,2020-05-09 21:00:00
2020-05-19 10:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영)",강풍,주의보,발표,2020-05-19 13:00:00
2020-05-19 10:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 경남서부남해앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2020-05-19 13:00:00
2020-05-19 10:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 경남서부남해앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2020-05-19 13:00:00
2020-05-19 21:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영)",강풍,주의보,해제,2020-05-19 23:00:00
2020-05-19 21:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 경남서부남해앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,해제,2020-05-19 23:00:00
2020-05-19 21:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 경남서부남해앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,해제,2020-05-20 01:00:00
2020-06-12 23:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(진주, 양산, 합천, 거창, 함양, 산청, 창녕, 함안, 의령, 밀양, 김해, 창원)",호우,주의보,발표,2020-06-13 00:00:00
2020-06-13 02:30:00,부산·울산·경상남도,"부산, 경상남도(고성, 창원)",호우,경보,변경,2020-06-13 02:30:00
2020-06-13 07:10:00,부산·울산·경상남도,"부산, 경상남도(남해, 고성, 사천, 창원)",호우,경보,해제,2020-06-13 07:10:00
2020-06-29 18:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 고성, 거제, 사천, 통영, 하동, 김해, 창원)",강풍,주의보,발표,2020-06-29 21:00:00
2020-06-29 19:30:00,부산·울산·경상남도,부산,호우,주의보,발표,2020-06-29 19:30:00
2020-06-30 02:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(양산, 김해)",호우,주의보,해제,2020-06-30 02:00:00
2020-06-30 15:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 고성, 거제, 사천, 통영, 하동, 김해, 창원)",강풍,주의보,해제,2020-06-30 16:00:00
2020-07-10 07:30:00,부산·울산·경상남도,"부산, 경상남도(거제, 통영)",호우,경보,변경,2020-07-10 07:30:00
2020-07-10 08:30:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 고성, 거제, 사천, 통영, 창원)",강풍,주의보,발표,2020-07-10 10:00:00
2020-07-10 10:30:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2020-07-10 13:00:00
2020-07-10 13:20:00,부산·울산·경상남도,"울산, 부산",호우,경보,해제,2020-07-10 13:20:00
2020-07-10 15:30:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 고성, 거제, 사천, 통영, 창원)",강풍,주의보,해제,2020-07-10 15:30:00
2020-07-10 18:00:00,부산·울산·경상남도,"남해동부먼바다, 남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,해제,2020-07-10 20:00:00
2020-07-12 22:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(양산, 김해)",호우,주의보,발표,2020-07-13 00:00:00
2020-07-13 14:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(양산)",호우,주의보,해제,2020-07-13 14:00:00
2020-07-22 03:00:00,부산·울산·경상남도,"부산, 경상남도(남해, 고성, 거제, 사천, 통영, 하동, 김해)",호우,주의보,발표,2020-07-22 04:00:00
2020-07-22 10:00:00,부산·울산·경상남도,부산,호우,주의보,해제,2020-07-22 10:00:00
2020-07-23 13:00:00,부산·울산·경상남도,부산,호우,주의보,발표,2020-07-23 13:00:00
2020-07-23 13:00:00,부산·울산·경상남도,부산,호우,주의보,발표,2020-07-23 14:00:00
2020-07-23 20:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(창원)",호우,경보,변경,2020-07-23 20:00:00
2020-07-23 21:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 경남서부남해앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2020-07-23 23:00:00
2020-07-23 21:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 경남서부남해앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2020-07-24 00:00:00
2020-07-23 21:30:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 고성, 거제, 사천, 통영)",강풍,주의보,발표,2020-07-23 21:30:00
2020-07-24 09:30:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 고성, 거제, 사천, 통영)",강풍,주의보,해제,2020-07-24 12:00:00
2020-07-24 09:30:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 경남서부남해앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,해제,2020-07-24 12:00:00
2020-07-27 13:00:00,부산·울산·경상남도,"부산, 경상남도(남해, 고성, 거제, 사천, 통영, 하동, 창원)",호우,주의보,발표,2020-07-27 16:00:00
2020-07-27 23:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(양산, 고성, 거제, 통영, 밀양, 김해, 창원)",호우,주의보,해제,2020-07-27 23:00:00
2020-07-29 12:50:00,부산·울산·경상남도,부산,호우,주의보,발표,2020-07-29 12:50:00
2020-07-29 16:10:00,부산·울산·경상남도,부산,호우,주의보,해제,2020-07-29 16:10:00
2020-07-30 03:10:00,부산·울산·경상남도,부산,호우,주의보,발표,2020-07-30 03:10:00
2020-07-30 04:10:00,부산·울산·경상남도,부산,호우,주의보,해제,2020-07-30 04:10:00
2020-07-30 11:10:00,부산·울산·경상남도,"울산, 부산, 경상남도(진주, 양산, 사천, 합천, 거창, 함양, 산청, 하동, 창녕, 함안, 의령, 밀양, 김해, 창원)",폭염,주의보,발표,2020-07-31 11:00:00
2020-08-01 11:00:00,부산·울산·경상남도,"부산, 경상남도(양산, 김해, 창원)",폭염,경보,변경,2020-08-01 11:00:00
2020-08-03 11:00:00,부산·울산·경상남도,"부산, 경상남도(양산, 김해, 창원)",폭염,주의보,변경,2020-08-03 11:00:00
2020-08-05 16:00:00,부산·울산·경상남도,"울산, 부산, 경상남도",폭염,주의보,해제,2020-08-05 16:00:00
2020-08-06 04:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 거제, 통영)",강풍,주의보,발표,2020-08-06 04:00:00
2020-08-06 16:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 거제, 통영)",강풍,주의보,해제,2020-08-06 16:00:00
2020-08-07 17:50:00,부산·울산·경상남도,"울산, 부산, 경상남도(양산, 김해, 창원)",호우,주의보,발표,2020-08-07 17:50:00
2020-08-07 19:10:00,부산·울산·경상남도,부산,호우,경보,변경,2020-08-07 19:10:00
2020-08-08 01:10:00,부산·울산·경상남도,부산,강풍,주의보,발표,2020-08-08 01:10:00
2020-08-08 16:00:00,부산·울산·경상남도,부산,강풍,주의보,해제,2020-08-08 16:00:00
2020-08-09 09:00:00,부산·울산·경상남도,"부산, 경상남도(진주, 거제, 통영, 합천, 거창, 함양, 산청, 하동, 창녕, 의령)",호우,경보,해제,2020-08-09 09:00:00
2020-08-09 18:00:00,부산·울산·경상남도,"부산, 경상남도(거제)",호우,주의보,발표,2020-08-09 20:00:00
2020-08-10 05:00:00,부산·울산·경상남도,"부산, 경상남도(거제)",호우,주의보,해제,2020-08-10 05:00:00
2020-08-10 11:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(양산, 고성, 거창, 함양, 창녕, 함안, 밀양, 김해, 창원), 동해남부앞바다(울산앞바다)",태풍,주의보,발표,2020-08-10 11:00:00
2020-08-10 16:00:00,부산·울산·경상남도,"울산, 부산, 경상남도",폭염,주의보,발표,2020-08-11 11:00:00
2020-08-10 16:55:00,부산·울산·경상남도,"울산, 부산, 경상남도, 남해동부전해상, 동해남부앞바다(울산앞바다)",태풍,주의보,해제,2020-08-10 16:55:00
