tm,address_gu,sub_address,stn,ta_max,ta_min,ta_max_min,hm_max,hm_min,ws_max,ws_ins_max,rn_day,call_count
2020-05-01,강서구,강서구 대저2동,904,23.7,16.6,7.099999999999998,90.3,63.2,5.8,10.6,0.0,1
2020-05-01,강서구,강서구 천성동,921,24.3,15.4,8.9,96.4,64.2,4.8,8.6,0.0,1
2020-05-01,금정구,금정구 금사동,940,25.6,17.2,8.400000000000002,76.4,46.6,4.8,8.3,0.0,1
2020-05-01,금정구,금정구 금성동,941,25.3,17.1,8.2,76.4,46.6,7.1,9.7,0.0,1
2020-05-01,금정구,금정구 남산동,939,26.5,16.7,9.8,76.4,46.6,5.7,8.1,0.0,3
2020-05-01,금정구,금정구 부곡동,940,25.6,17.2,8.400000000000002,76.4,46.6,4.8,8.3,0.0,1
2020-05-01,금정구,금정구 장전동,940,25.6,17.2,8.400000000000002,76.4,46.6,4.8,8.3,0.0,1
2020-05-01,기장군,기장군 기장읍,923,26.9,15.9,10.999999999999998,87.6,49.7,4.2,7.3,0.0,1
2020-05-01,기장군,기장군 일광면,923,26.9,15.9,10.999999999999998,87.6,49.7,4.2,7.3,0.0,2
2020-05-01,기장군,기장군 장안읍,923,26.9,15.9,10.999999999999998,87.6,49.7,4.2,7.3,0.0,1
2020-05-01,남구,남구 감만동,942,22.8,16.0,6.800000000000001,85.75714285714285,60.60714285714288,5.6,9.4,0.0,1
2020-05-01,남구,남구 문현동,942,22.8,16.0,6.800000000000001,85.75714285714285,60.60714285714288,5.6,9.4,0.0,3
2020-05-01,남구,남구 용호동,942,22.8,16.0,6.800000000000001,85.75714285714285,60.60714285714288,5.6,9.4,0.0,4
2020-05-01,동구,동구 범일동,942,22.8,16.0,6.800000000000001,87.5,63.7,5.6,9.4,0.0,1
2020-05-01,동구,동구 수정동,159,22.7,16.7,6.0,87.5,63.7,9.4,14.4,0.0,1
2020-05-01,동구,동구 좌천동,942,22.8,16.0,6.800000000000001,87.5,63.7,5.6,9.4,0.0,1
2020-05-01,동구,동구 초량동,159,22.7,16.7,6.0,87.5,63.7,9.4,14.4,0.0,2
2020-05-01,동래구,동래구 명장동,940,25.6,17.2,8.400000000000002,76.4,46.6,4.8,8.3,0.0,3
2020-05-01,동래구,동래구 안락동,940,25.6,17.2,8.400000000000002,76.4,46.6,4.8,8.3,0.0,1
2020-05-01,동래구,동래구 온천동,940,25.6,17.2,8.400000000000002,76.4,46.6,4.8,8.3,0.0,2
2020-05-01,부산진구,부산진구 가야동,938,24.8,16.6,8.2,76.4,46.6,4.3,7.8,0.0,3
2020-05-01,부산진구,부산진구 부암동,938,24.8,16.6,8.2,76.4,46.6,4.3,7.8,0.0,1
2020-05-01,부산진구,부산진구 부전동,938,24.8,16.6,8.2,76.4,46.6,4.3,7.8,0.0,2
