tm,address_gu,sub_address,stn,ta_max,ta_min,ta_max_min,hm_max,hm_min,ws_max,ws_ins_max,rn_day,call_count
2020-05-01,동구,동구 수정동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1,6.0
2020-05-01,동구,동구 초량동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,2,6.0
2020-05-01,사하구,사하구 감천동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1,6.0
2020-05-01,서구,서구 아미동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1,6.0
2020-05-01,서구,서구 암남동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1,6.0
2020-05-01,영도구,영도구 남항동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1,6.0
2020-05-01,영도구,영도구 대교동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1,6.0
2020-05-01,영도구,영도구 신선동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1,6.0
2020-05-01,중구,중구 남포동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,2,6.0
2020-05-01,중구,중구 중앙동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1,6.0
2020-05-02,동구,동구 수정동,159,21.8,17.0,69.2,89.9,6.5,10.0,1.1,1,4.800000000000001
2020-05-02,동구,동구 초량동,159,21.8,17.0,69.2,89.9,6.5,10.0,1.1,2,4.800000000000001
2020-05-02,사하구,사하구 구평동,159,21.8,17.0,69.2,89.9,6.5,10.0,1.1,1,4.800000000000001
2020-05-02,서구,서구 남부민동,159,21.8,17.0,69.2,89.9,6.5,10.0,1.1,1,4.800000000000001
2020-05-02,서구,서구 암남동,159,21.8,17.0,69.2,89.9,6.5,10.0,1.1,1,4.800000000000001
2020-05-02,서구,서구 충무동,159,21.8,17.0,69.2,89.9,6.5,10.0,1.1,1,4.800000000000001
2020-05-02,영도구,영도구 남항동,159,21.8,17.0,69.2,89.9,6.5,10.0,1.1,1,4.800000000000001
2020-05-02,영도구,영도구 대평동,159,21.8,17.0,69.2,89.9,6.5,10.0,1.1,1,4.800000000000001
2020-05-02,중구,중구 영주동,159,21.8,17.0,69.2,89.9,6.5,10.0,1.1,1,4.800000000000001
2020-05-03,동구,동구 초량동,159,17.9,16.2,85.2,98.6,5.0,9.3,21.3,1,1.6999999999999993
2020-05-03,사하구,사하구 감천동,159,17.9,16.2,85.2,98.6,5.0,9.3,21.3,1,1.6999999999999993
2020-05-03,서구,서구 동대신동,159,17.9,16.2,85.2,98.6,5.0,9.3,21.3,1,1.6999999999999993
2020-05-03,서구,서구 서대신동,159,17.9,16.2,85.2,98.6,5.0,9.3,21.3,1,1.6999999999999993
2020-05-03,서구,서구 암남동,159,17.9,16.2,85.2,98.6,5.0,9.3,21.3,1,1.6999999999999993
2020-05-03,서구,서구 충무동,159,17.9,16.2,85.2,98.6,5.0,9.3,21.3,2,1.6999999999999993
2020-05-03,영도구,영도구 봉래동,159,17.9,16.2,85.2,98.6,5.0,9.3,21.3,1,1.6999999999999993
2020-05-03,중구,중구 대청동,159,17.9,16.2,85.2,98.6,5.0,9.3,21.3,1,1.6999999999999993
2020-05-03,중구,중구 중앙동,159,17.9,16.2,85.2,98.6,5.0,9.3,21.3,2,1.6999999999999993
2020-05-04,동구,동구 초량동,159,25.0,15.8,62.5,99.3,6.8,9.1,0.0,1,9.2
2020-05-04,서구,서구 남부민동,159,25.0,15.8,62.5,99.3,6.8,9.1,0.0,1,9.2
2020-05-04,서구,서구 아미동,159,25.0,15.8,62.5,99.3,6.8,9.1,0.0,1,9.2
2020-05-04,서구,서구 충무동,159,25.0,15.8,62.5,99.3,6.8,9.1,0.0,1,9.2
2020-05-04,영도구,영도구 청학동,159,25.0,15.8,62.5,99.3,6.8,9.1,0.0,1,9.2
2020-05-04,중구,중구 남포동,159,25.0,15.8,62.5,99.3,6.8,9.1,0.0,1,9.2
2020-05-04,중구,중구 중앙동,159,25.0,15.8,62.5,99.3,6.8,9.1,0.0,2,9.2
2020-05-05,동구,동구 초량동,159,18.5,14.2,67.6,88.9,4.2,8.3,0.0,1,4.300000000000001
2020-05-05,서구,서구 남부민동,159,18.5,14.2,67.6,88.9,4.2,8.3,0.0,1,4.300000000000001
2020-05-05,서구,서구 토성동,159,18.5,14.2,67.6,88.9,4.2,8.3,0.0,1,4.300000000000001
2020-05-05,영도구,영도구 청학동,159,18.5,14.2,67.6,88.9,4.2,8.3,0.0,1,4.300000000000001
2020-05-06,서구,서구 남부민동,159,21.8,14.0,43.5,89.1,6.2,13.8,0.0,2,7.800000000000001
