tm,address_gu,sub_address,stn,ta_max,ta_min,hm_min,hm_max,ws_max,ws_ins_max,rn_day,call_count
2020-05-01,강서구,강서구 대저2동,904,23.7,16.6,63.2,90.3,5.8,10.6,0.0,1
2020-05-01,강서구,강서구 천성동,921,24.3,15.4,64.2,96.4,4.8,8.6,0.0,1
2020-05-01,금정구,금정구 금사동,940,25.6,17.2,46.6,76.4,4.8,8.3,0.0,1
2020-05-01,금정구,금정구 금성동,941,25.3,17.1,53.71428571428572,82.35714285714286,7.1,9.7,0.0,1
2020-05-01,금정구,금정구 남산동,939,26.5,16.7,47.967857142857156,79.69642857142857,5.7,8.1,0.0,3
2020-05-01,금정구,금정구 부곡동,940,25.6,17.2,46.6,76.4,4.8,8.3,0.0,1
2020-05-01,금정구,금정구 장전동,940,25.6,17.2,46.6,76.4,4.8,8.3,0.0,1
2020-05-01,기장군,기장군 기장읍,923,26.9,15.9,49.7,87.6,4.2,7.3,0.0,1
2020-05-01,기장군,기장군 일광면,923,26.9,15.9,49.7,87.6,4.2,7.3,0.0,2
2020-05-01,기장군,기장군 장안읍,923,26.9,15.9,49.7,87.6,4.2,7.3,0.0,1
2020-05-01,남구,남구 감만동,942,22.8,16.0,64.42727272727274,88.30909090909091,5.6,9.4,0.0,1
2020-05-01,남구,남구 문현동,942,22.8,16.0,64.42727272727274,88.30909090909091,5.6,9.4,0.0,3
2020-05-01,남구,남구 용호동,942,22.8,16.0,64.42727272727274,88.30909090909091,5.6,9.4,0.0,4
2020-05-01,동구,동구 범일동,942,22.8,16.0,64.42727272727274,88.30909090909091,5.6,9.4,0.0,1
2020-05-01,동구,동구 수정동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1
2020-05-01,동구,동구 좌천동,942,22.8,16.0,64.42727272727274,88.30909090909091,5.6,9.4,0.0,1
2020-05-01,동구,동구 초량동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,2
2020-05-01,동래구,동래구 명장동,940,25.6,17.2,46.6,76.4,4.8,8.3,0.0,3
2020-05-01,동래구,동래구 안락동,940,25.6,17.2,46.6,76.4,4.8,8.3,0.0,1
2020-05-01,동래구,동래구 온천동,940,25.6,17.2,46.6,76.4,4.8,8.3,0.0,2
2020-05-01,부산진구,부산진구 가야동,938,24.8,16.6,62.93613445378152,88.18571428571428,4.3,7.8,0.0,3
2020-05-01,부산진구,부산진구 부암동,938,24.8,16.6,62.93613445378152,88.18571428571428,4.3,7.8,0.0,1
2020-05-01,부산진구,부산진구 부전동,938,24.8,16.6,62.93613445378152,88.18571428571428,4.3,7.8,0.0,2
2020-05-01,북구,북구 금곡동,941,25.3,17.1,55.34167078596145,83.38571428571429,7.1,9.7,0.0,1
2020-05-01,북구,북구 만덕동,941,25.3,17.1,55.34167078596145,83.38571428571429,7.1,9.7,0.0,2
2020-05-01,북구,북구 화명동,941,25.3,17.1,55.34167078596145,83.38571428571429,7.1,9.7,0.0,2
2020-05-01,사상구,사상구 괘법동,904,23.7,16.6,63.2,90.3,5.8,10.6,0.0,1
2020-05-01,사상구,사상구 모라동,904,23.7,16.6,63.2,90.3,5.8,10.6,0.0,1
2020-05-01,사상구,사상구 삼락동,904,23.7,16.6,63.2,90.3,5.8,10.6,0.0,1
2020-05-01,사상구,사상구 엄궁동,904,23.7,16.6,63.2,90.3,5.8,10.6,0.0,1
2020-05-01,사상구,사상구 학장동,904,23.7,16.6,63.2,90.3,5.8,10.6,0.0,1
2020-05-01,사하구,사하구 감천동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1
2020-05-01,사하구,사하구 다대동,950,23.6,15.4,61.9,93.8,4.4,7.9,0.0,1
2020-05-01,사하구,사하구 신평동,950,23.6,15.4,61.9,93.8,4.4,7.9,0.0,1
2020-05-01,사하구,사하구 장림동,950,23.6,15.4,61.9,93.8,4.4,7.9,0.0,1
2020-05-01,서구,서구 아미동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1
2020-05-01,서구,서구 암남동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1
2020-05-01,수영구,수영구 광안동,937,25.3,16.4,55.4,88.1,7.3,11.4,0.0,1
2020-05-01,수영구,수영구 남천동,937,25.3,16.4,55.4,88.1,7.3,11.4,0.0,2
2020-05-01,수영구,수영구 망미동,940,25.6,17.2,46.6,76.4,4.8,8.3,0.0,2
2020-05-01,수영구,수영구 민락동,937,25.3,16.4,55.4,88.1,7.3,11.4,0.0,1
2020-05-01,연제구,연제구 연산동,940,25.6,17.2,46.6,76.4,4.8,8.3,0.0,9
2020-05-01,영도구,영도구 남항동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1
2020-05-01,영도구,영도구 대교동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1
2020-05-01,영도구,영도구 동삼동,910,20.5,14.6,71.7,96.4,5.7,8.6,0.0,5
2020-05-01,영도구,영도구 신선동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1
2020-05-01,중구,중구 남포동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,2
2020-05-01,중구,중구 중앙동,159,22.7,16.7,63.7,87.5,9.4,14.4,0.0,1
2020-05-01,해운대구,해운대구 반송동,937,25.3,16.4,55.4,88.1,7.3,11.4,0.0,2
2020-05-01,해운대구,해운대구 반여동,937,25.3,16.4,55.4,88.1,7.3,11.4,0.0,1
2020-05-01,해운대구,해운대구 송정동,937,25.3,16.4,55.4,88.1,7.3,11.4,0.0,1
2020-05-01,해운대구,해운대구 재송동,937,25.3,16.4,55.4,88.1,7.3,11.4,0.0,3
2020-05-01,해운대구,해운대구 좌동,937,25.3,16.4,55.4,88.1,7.3,11.4,0.0,1
2020-05-01,해운대구,해운대구 중동,937,25.3,16.4,55.4,88.1,7.3,11.4,0.0,1
2020-05-02,강서구,강서구 대저1동,904,22.3,17.4,68.4,91.2,5.8,9.6,0.5,2
2020-05-02,강서구,강서구 명지동,904,22.3,17.4,68.4,91.2,5.8,9.6,0.5,2
2020-05-02,강서구,강서구 생곡동,904,22.3,17.4,68.4,91.2,5.8,9.6,0.5,2
2020-05-02,강서구,강서구 송정동,937,24.1,17.0,60.1,88.8,5.5,8.4,1.0,2
2020-05-02,강서구,강서구 신호동,950,22.3,15.8,69.4,96.1,3.9,5.8,1.0,2
2020-05-02,강서구,강서구 천성동,921,21.4,15.7,74.4,99.5,4.2,7.4,1.5,1
2020-05-02,금정구,금정구 두구동,939,27.6,16.0,50.325,81.625,4.3,8.0,0.0,1
2020-05-02,금정구,금정구 청룡동,939,27.6,16.0,50.325,81.625,4.3,8.0,0.0,1
2020-05-02,기장군,기장군 일광면,923,24.1,17.1,56.7,87.1,3.6,5.7,0.0,1
