tm,address_gu,sub_address,cat,sub_cat,stn,sub_call_count
2020-05-01,강서구,강서구 대저2동,구급,교통사고,904,1
2020-05-01,강서구,강서구 천성동,구조,교통사고,921,1
2020-05-01,금정구,금정구 금사동,구급,부상,940,1
2020-05-01,금정구,금정구 금성동,기타,업무운행,941,1
2020-05-01,금정구,금정구 남산동,구급,부상,939,1
2020-05-01,금정구,금정구 남산동,기타,업무운행,939,2
2020-05-01,금정구,금정구 부곡동,구급,부상,940,1
2020-05-01,금정구,금정구 장전동,구급,교통사고,940,1
2020-05-01,기장군,기장군 기장읍,구급,교통사고,923,1
2020-05-01,기장군,기장군 일광면,구급,부상,923,1
2020-05-01,기장군,기장군 일광면,구조,산악사고,923,1
2020-05-01,기장군,기장군 장안읍,화재,산불,923,1
2020-05-01,남구,남구 감만동,기타,업무운행,942,1
2020-05-01,남구,남구 문현동,구급,부상,942,3
2020-05-01,남구,남구 용호동,구급,교통사고,942,3
2020-05-01,남구,남구 용호동,구급,부상,942,1
2020-05-01,동구,동구 범일동,기타,업무운행,942,1
2020-05-01,동구,동구 수정동,구급,교통사고,159,1
2020-05-01,동구,동구 좌천동,구급,부상,942,1
2020-05-01,동구,동구 초량동,구급,부상,159,2
2020-05-01,동래구,동래구 명장동,구급,교통사고,940,1
2020-05-01,동래구,동래구 명장동,구급,부상,940,1
2020-05-01,동래구,동래구 명장동,기타,업무운행,940,1
2020-05-01,동래구,동래구 안락동,구급,부상,940,1
2020-05-01,동래구,동래구 온천동,기타,업무운행,940,2
2020-05-01,부산진구,부산진구 가야동,구급,부상,938,2
2020-05-01,부산진구,부산진구 가야동,기타,업무운행,938,1
2020-05-01,부산진구,부산진구 부암동,구급,부상,938,1
2020-05-01,부산진구,부산진구 부전동,구급,교통사고,938,2
2020-05-01,북구,북구 금곡동,구급,부상,941,1
2020-05-01,북구,북구 만덕동,구조,산악사고,941,1
2020-05-01,북구,북구 만덕동,기타,업무운행,941,1
2020-05-01,북구,북구 화명동,구급,부상,941,1
2020-05-01,북구,북구 화명동,기타,업무운행,941,1
2020-05-01,사상구,사상구 괘법동,구급,교통사고,904,1
2020-05-01,사상구,사상구 모라동,구급,부상,904,1
2020-05-01,사상구,사상구 삼락동,구급,부상,904,1
2020-05-01,사상구,사상구 엄궁동,구급,부상,904,1
2020-05-01,사상구,사상구 학장동,구급,교통사고,904,1
2020-05-01,사하구,사하구 감천동,구급,부상,159,1
2020-05-01,사하구,사하구 다대동,구급,교통사고,950,1
2020-05-01,사하구,사하구 신평동,구급,부상,950,1
2020-05-01,사하구,사하구 장림동,구급,부상,950,1
2020-05-01,서구,서구 아미동,구급,교통사고,159,1
2020-05-01,서구,서구 암남동,구급,부상,159,1
2020-05-01,수영구,수영구 광안동,구급,부상,937,1
2020-05-01,수영구,수영구 남천동,구급,교통사고,937,1
2020-05-01,수영구,수영구 남천동,구급,부상,937,1
2020-05-01,수영구,수영구 망미동,구급,교통사고,940,1
2020-05-01,수영구,수영구 망미동,구급,부상,940,1
2020-05-01,수영구,수영구 민락동,구급,부상,937,1
2020-05-01,연제구,연제구 연산동,구급,교통사고,940,1
2020-05-01,연제구,연제구 연산동,구급,부상,940,4
2020-05-01,연제구,연제구 연산동,기타,업무운행,940,4
2020-05-01,영도구,영도구 남항동,구급,부상,159,1
2020-05-01,영도구,영도구 대교동,구급,부상,159,1
2020-05-01,영도구,영도구 동삼동,구급,교통사고,910,2
2020-05-01,영도구,영도구 동삼동,구급,부상,910,3
2020-05-01,영도구,영도구 신선동,구급,교통사고,159,1
2020-05-01,중구,중구 남포동,구급,교통사고,159,1
2020-05-01,중구,중구 남포동,구급,구급기타,159,1
2020-05-01,중구,중구 중앙동,기타,대민지원,159,1
2020-05-01,해운대구,해운대구 반송동,구급,부상,937,1
2020-05-01,해운대구,해운대구 반송동,기타,업무운행,937,1
2020-05-01,해운대구,해운대구 반여동,구급,부상,937,1
2020-05-01,해운대구,해운대구 송정동,구조,수난사고,937,1
2020-05-01,해운대구,해운대구 재송동,구급,교통사고,937,2
2020-05-01,해운대구,해운대구 재송동,구조,교통사고,937,1
2020-05-01,해운대구,해운대구 좌동,구급,교통사고,937,1
2020-05-01,해운대구,해운대구 중동,구급,구급기타,937,1
2020-05-02,강서구,강서구 대저1동,구급,부상,904,1
2020-05-02,강서구,강서구 대저1동,기타,상황출동,904,1
2020-05-02,강서구,강서구 명지동,구급,부상,904,2
2020-05-02,강서구,강서구 생곡동,구급,교통사고,904,1
2020-05-02,강서구,강서구 생곡동,구조,교통사고,904,1
2020-05-02,강서구,강서구 송정동,구급,교통사고,937,2
2020-05-02,강서구,강서구 신호동,구급,부상,950,2
2020-05-02,강서구,강서구 천성동,구급,부상,921,1
2020-05-02,금정구,금정구 두구동,구급,부상,939,1
2020-05-02,금정구,금정구 청룡동,구급,부상,939,1
2020-05-02,기장군,기장군 일광면,기타,업무운행,923,1
2020-05-02,기장군,기장군 정관읍,기타,업무운행,923,1
