"call119_train.tm","call119_train.address_city","call119_train.address_gu","call119_train.sub_address","call119_train.stn","call119_train.ta_max","call119_train.ta_min","call119_train.ta_max_min","call119_train.hm_min","call119_train.hm_max","call119_train.ws_max","call119_train.ws_ins_max","call119_train.rn_day","call119_train.call_count"
"20200501","부산광역시","강서구","대저2동",904,23.7,16.6,7.1,63.2,90.3,5.8,10.6,0,1
"20200501","부산광역시","강서구","천성동",921,24.3,15.4,8.9,64.2,96.4,4.8,8.6,0,1
"20200501","부산광역시","금정구","금사동",940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,1
"20200501","부산광역시","금정구","금성동",941,25.3,17.1,8.2,-99,-99,7.1,9.7,0,1
"20200501","부산광역시","금정구","남산동",939,26.5,16.7,9.8,-99,-99,5.7,8.1,0,3
"20200501","부산광역시","금정구","부곡동",940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,1
"20200501","부산광역시","금정구","장전동",940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,1
"20200501","부산광역시","기장군","기장읍",923,26.9,15.9,11,49.7,87.6,4.2,7.3,0,1
"20200501","부산광역시","기장군","일광면",923,26.9,15.9,11,49.7,87.6,4.2,7.3,0,2
"20200501","부산광역시","기장군","장안읍",923,26.9,15.9,11,49.7,87.6,4.2,7.3,0,1
"20200501","부산광역시","남구","감만동",942,22.8,16,6.8,-99,-99,5.6,9.4,0,1
"20200501","부산광역시","남구","문현동",942,22.8,16,6.8,-99,-99,5.6,9.4,0,3
"20200501","부산광역시","남구","용호동",942,22.8,16,6.8,-99,-99,5.6,9.4,0,4
"20200501","부산광역시","동구","범일동",942,22.8,16,6.8,-99,-99,5.6,9.4,0,1
"20200501","부산광역시","동구","수정동",159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,1
"20200501","부산광역시","동구","좌천동",942,22.8,16,6.8,-99,-99,5.6,9.4,0,1
"20200501","부산광역시","동구","초량동",159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,2
"20200501","부산광역시","동래구","명장동",940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,3
"20200501","부산광역시","동래구","안락동",940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,1
"20200501","부산광역시","동래구","온천동",940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,2
"20200501","부산광역시","부산진구","가야동",938,24.8,16.6,8.2,-99,-99,4.3,7.8,0,3
"20200501","부산광역시","부산진구","부암동",938,24.8,16.6,8.2,-99,-99,4.3,7.8,0,1
"20200501","부산광역시","부산진구","부전동",938,24.8,16.6,8.2,-99,-99,4.3,7.8,0,2
"20200501","부산광역시","북구","금곡동",941,25.3,17.1,8.2,-99,-99,7.1,9.7,0,1
"20200501","부산광역시","북구","만덕동",941,25.3,17.1,8.2,-99,-99,7.1,9.7,0,2
"20200501","부산광역시","북구","화명동",941,25.3,17.1,8.2,-99,-99,7.1,9.7,0,2
"20200501","부산광역시","사상구","괘법동",904,23.7,16.6,7.1,63.2,90.3,5.8,10.6,0,1
"20200501","부산광역시","사상구","모라동",904,23.7,16.6,7.1,63.2,90.3,5.8,10.6,0,1
"20200501","부산광역시","사상구","삼락동",904,23.7,16.6,7.1,63.2,90.3,5.8,10.6,0,1
"20200501","부산광역시","사상구","엄궁동",904,23.7,16.6,7.1,63.2,90.3,5.8,10.6,0,1
"20200501","부산광역시","사상구","학장동",904,23.7,16.6,7.1,63.2,90.3,5.8,10.6,0,1
"20200501","부산광역시","사하구","감천동",159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,1
"20200501","부산광역시","사하구","다대동",950,23.6,15.4,8.2,61.9,93.8,4.4,7.9,0,1
"20200501","부산광역시","사하구","신평동",950,23.6,15.4,8.2,61.9,93.8,4.4,7.9,0,1
"20200501","부산광역시","사하구","장림동",950,23.6,15.4,8.2,61.9,93.8,4.4,7.9,0,1
"20200501","부산광역시","서구","아미동",159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,1
"20200501","부산광역시","서구","암남동",159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,1
